[2022-08-13T12:43:15.990] [WARN] warnArchive - Estado: 404, Ruta consultada: /asd, Metodo GET
[2022-08-13T12:45:38.899] [WARN] warnArchive - Estado: 404, Ruta consultada: /bienvenida/asdasd, Metodo GET
[2022-08-13T12:48:10.628] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:48:13.561] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:48:14.427] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:48:19.408] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:48:22.242] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:48:22.520] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:48:22.759] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:48:23.036] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:48:35.740] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-13T12:48:35.781] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-13T12:48:49.409] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:49:11.542] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:49:12.698] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:49:18.858] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:52:10.908] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:53:43.501] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:53:50.590] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T12:53:59.395] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T13:48:29.633] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-13T13:58:53.001] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/randoms, Metodo POST
[2022-08-13T14:37:45.649] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T19:09:43.954] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-13T21:23:27.049] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-13T21:23:27.162] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-13T21:23:27.281] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-13T21:23:27.378] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-13T21:23:27.505] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-13T21:39:01.204] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T21:54:43.859] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-13T22:10:18.098] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-13T22:13:35.832] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2022-08-13T22:13:40.787] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2022-08-14T10:35:11.966] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:35:12.001] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:35:13.982] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:35:14.000] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:35:17.034] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:35:17.046] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:35:21.063] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:35:21.081] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:35:22.103] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:35:22.122] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:35:27.138] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:35:27.155] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:35:28.116] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:35:28.135] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:35:32.294] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:35:32.316] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:35:35.190] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:35:35.215] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:35:37.258] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:35:37.278] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
